primary_label,s3_key
Allobates femoralis,data/audio_specs/21211/XC882649_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat322031_chunk_25.npy
Boana boans,data/audio_specs/555086/XC882684_chunk_5.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_17.npy
Allobates femoralis,data/audio_specs/21211/iNat1005762_chunk_2.npy
Panthera onca,data/audio_specs/41970/iNat327629_chunk_0.npy
Leptodactylus fuscus,data/audio_specs/22973/XC929100_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC216657_chunk_4.npy
Panthera onca,data/audio_specs/41970/XC564868_chunk_5.npy
Sciurus granatensis,data/audio_specs/46010/iNat247099_chunk_5.npy
Procyon lotor,data/audio_specs/41663/iNat372425_chunk_0.npy
Engystomops pustulosus,data/audio_specs/65448/iNat304517_chunk_1.npy
Boana boans,data/audio_specs/555086/XC882691_chunk_4.npy
Puma concolor,data/audio_specs/42007/iNat500217_chunk_27.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC745516_chunk_12.npy
Procyon lotor,data/audio_specs/41663/iNat74306_chunk_8.npy
Rhinella horribilis,data/audio_specs/517119/iNat142111_chunk_0.npy
Andinobates opisthomelas,data/audio_specs/135045/iNat1207345_chunk_32.npy
Falco sparverius,data/audio_specs/amekes/XC426297_chunk_8.npy
Elachistocleis panamensis,data/audio_specs/476538/XC926710_chunk_8.npy
Procyon lotor,data/audio_specs/41663/iNat140497_chunk_3.npy
Procyon lotor,data/audio_specs/41663/XC144437_chunk_17.npy
Allobates femoralis,data/audio_specs/21211/XC882646_chunk_17.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/XC894982_chunk_13.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat576377_chunk_2.npy
Lithobates vaillanti,data/audio_specs/66016/XC893981_chunk_2.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882997_chunk_3.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882996_chunk_7.npy
Procyon lotor,data/audio_specs/41663/iNat313992_chunk_13.npy
Procyon lotor,data/audio_specs/41663/iNat348730_chunk_11.npy
Rhinella horribilis,data/audio_specs/517119/iNat386122_chunk_3.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat341638_chunk_6.npy
Procyon lotor,data/audio_specs/41663/iNat358212_chunk_6.npy
Sciurus granatensis,data/audio_specs/46010/iNat913511_chunk_0.npy
Puma concolor,data/audio_specs/42007/iNat1241987_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC416142_chunk_19.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1204642_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC573031_chunk_2.npy
Procyon lotor,data/audio_specs/41663/iNat1143361_chunk_14.npy
Dendropsophus ebraccatus,data/audio_specs/65349/iNat65524_chunk_1.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat575726_chunk_2.npy
Panthera onca,data/audio_specs/41970/XC564880_chunk_13.npy
Boana boans,data/audio_specs/555086/XC882685_chunk_7.npy
Engystomops pustulosus,data/audio_specs/65448/iNat50410_chunk_2.npy
Alouatta seniculus,data/audio_specs/566513/iNat860046_chunk_12.npy
Procyon lotor,data/audio_specs/41663/iNat871030_chunk_1.npy
Procyon lotor,data/audio_specs/41663/iNat135564_chunk_14.npy
Procyon lotor,data/audio_specs/41663/iNat160963_chunk_6.npy
Boana boans,data/audio_specs/555086/XC882690_chunk_14.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat583591_chunk_15.npy
Engystomops pustulosus,data/audio_specs/65448/iNat304517_chunk_11.npy
Procyon lotor,data/audio_specs/41663/iNat1143361_chunk_6.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat1008712_chunk_3.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat103569_chunk_6.npy
Allobates femoralis,data/audio_specs/21211/XC934741_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC399014_chunk_13.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat53679_chunk_2.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat150110_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat322031_chunk_17.npy
Allobates femoralis,data/audio_specs/21211/XC882658_chunk_14.npy
Allobates femoralis,data/audio_specs/21211/XC882659_chunk_12.npy
Falco sparverius,data/audio_specs/amekes/XC772375_chunk_29.npy
Falco sparverius,data/audio_specs/amekes/XC362208_chunk_36.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat843264_chunk_6.npy
Falco sparverius,data/audio_specs/amekes/XC133392_chunk_5.npy
Dendropsophus ebraccatus,data/audio_specs/65349/iNat297888_chunk_7.npy
Falco sparverius,data/audio_specs/amekes/XC147273_chunk_4.npy
Panthera onca,data/audio_specs/41970/iNat1015848_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat480453_chunk_10.npy
Procyon lotor,data/audio_specs/41663/iNat287461_chunk_25.npy
Rhinella horribilis,data/audio_specs/517119/iNat521786_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat85594_chunk_1.npy
Procyon lotor,data/audio_specs/41663/iNat1148293_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC130272_chunk_0.npy
Rhinella horribilis,data/audio_specs/517119/iNat1110668_chunk_12.npy
Scinax ruber,data/audio_specs/24322/iNat319465_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat214017_chunk_1.npy
Andinobates opisthomelas,data/audio_specs/135045/iNat1207345_chunk_34.npy
Falco sparverius,data/audio_specs/amekes/XC289032_chunk_2.npy
Rhinella horribilis,data/audio_specs/517119/XC893994_chunk_0.npy
Andinobates opisthomelas,data/audio_specs/135045/iNat1207345_chunk_27.npy
Procyon lotor,data/audio_specs/41663/iNat853280_chunk_18.npy
Falco sparverius,data/audio_specs/amekes/XC742842_chunk_2.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat32482_chunk_4.npy
Falco sparverius,data/audio_specs/amekes/XC375505_chunk_24.npy
Alouatta seniculus,data/audio_specs/566513/iNat561526_chunk_4.npy
Falco sparverius,data/audio_specs/amekes/XC772375_chunk_5.npy
Rhinella horribilis,data/audio_specs/517119/iNat883106_chunk_11.npy
Procyon lotor,data/audio_specs/41663/XC144437_chunk_38.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/XC894982_chunk_15.npy
Falco sparverius,data/audio_specs/amekes/XC304798_chunk_2.npy
Procyon lotor,data/audio_specs/41663/iNat1215114_chunk_13.npy
Engystomops pustulosus,data/audio_specs/65448/iNat953656_chunk_2.npy
Dendropsophus columbianus,data/audio_specs/65344/iNat573035_chunk_9.npy
Rhinella humboldti,data/audio_specs/81930/iNat737012_chunk_8.npy
Rhinella horribilis,data/audio_specs/517119/iNat586526_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC362208_chunk_20.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat103569_chunk_0.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat32628_chunk_0.npy
Rhinella humboldti,data/audio_specs/81930/iNat737012_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC254589_chunk_4.npy
Smilisca phaeota,data/audio_specs/24272/iNat341657_chunk_8.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat567927_chunk_4.npy
Falco sparverius,data/audio_specs/amekes/XC565033_chunk_4.npy
Procyon lotor,data/audio_specs/41663/iNat926814_chunk_12.npy
Smilisca phaeota,data/audio_specs/24272/iNat901214_chunk_1.npy
Allobates femoralis,data/audio_specs/21211/XC882655_chunk_7.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882796_chunk_9.npy
Leptodactylus savagei,data/audio_specs/65962/iNat53861_chunk_0.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat28425_chunk_1.npy
Procyon lotor,data/audio_specs/41663/iNat287461_chunk_11.npy
Dendropsophus microcephalus,data/audio_specs/65373/XC941284_chunk_0.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1202224_chunk_3.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1256024_chunk_1.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat1199997_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat1220687_chunk_0.npy
Rhinella horribilis,data/audio_specs/517119/iNat19348_chunk_4.npy
Procyon lotor,data/audio_specs/41663/iNat853280_chunk_6.npy
Dendropsophus ebraccatus,data/audio_specs/65349/iNat65524_chunk_5.npy
Smilisca phaeota,data/audio_specs/24272/XC893991_chunk_3.npy
Rhinella humboldti,data/audio_specs/81930/iNat737012_chunk_7.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882794_chunk_0.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat761669_chunk_7.npy
Procyon lotor,data/audio_specs/41663/iNat1158378_chunk_2.npy
Boana pugnax,data/audio_specs/555142/iNat1274037_chunk_0.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882998_chunk_10.npy
Falco sparverius,data/audio_specs/amekes/XC56416_chunk_4.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_11.npy
Falco sparverius,data/audio_specs/amekes/XC772376_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882795_chunk_16.npy
Leucostethus fraterdanieli,data/audio_specs/787625/iNat117128_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat859872_chunk_23.npy
Procyon lotor,data/audio_specs/41663/iNat839812_chunk_9.npy
Alouatta seniculus,data/audio_specs/566513/iNat860046_chunk_10.npy
Dendropsophus columbianus,data/audio_specs/65344/iNat924134_chunk_4.npy
Procyon lotor,data/audio_specs/41663/iNat89022_chunk_9.npy
Dendropsophus bogerti,data/audio_specs/65336/iNat521536_chunk_1.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC745506_chunk_5.npy
Engystomops pustulosus,data/audio_specs/65448/XC882770_chunk_13.npy
Procyon lotor,data/audio_specs/41663/iNat1123371_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat630711_chunk_13.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat1237389_chunk_3.npy
Leptodactylus fragilis,data/audio_specs/22976/XC893971_chunk_2.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat132257_chunk_10.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC591955_chunk_1.npy
Dendropsophus columbianus,data/audio_specs/65344/iNat953646_chunk_6.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC374595_chunk_5.npy
Rhinella horribilis,data/audio_specs/517119/iNat846254_chunk_6.npy
Dendropsophus bogerti,data/audio_specs/65336/iNat1193236_chunk_3.npy
Allobates femoralis,data/audio_specs/21211/XC913840_chunk_2.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat1208974_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/XC882658_chunk_28.npy
Boana boans,data/audio_specs/555086/XC882693_chunk_4.npy
Falco sparverius,data/audio_specs/amekes/XC674597_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC598755_chunk_11.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat583744_chunk_16.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat1105506_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat731222_chunk_3.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882995_chunk_4.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat1241231_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC304798_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/iNat515631_chunk_1.npy
Elachistocleis panamensis,data/audio_specs/476538/iNat955995_chunk_3.npy
Leptodactylus savagei,data/audio_specs/65962/iNat380246_chunk_8.npy
Allobates femoralis,data/audio_specs/21211/XC896863_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/iNat946486_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat290712_chunk_6.npy
Procyon lotor,data/audio_specs/41663/iNat31509_chunk_7.npy
Andinobates opisthomelas,data/audio_specs/135045/iNat1208550_chunk_0.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC260563_chunk_3.npy
Puma concolor,data/audio_specs/42007/iNat1167295_chunk_1.npy
Smilisca phaeota,data/audio_specs/24272/XC882885_chunk_4.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat1105506_chunk_5.npy
Pristimantis bogotensis,data/audio_specs/66578/iNat223502_chunk_2.npy
Alouatta seniculus,data/audio_specs/566513/XC959860_chunk_0.npy
Hyalinobatrachium tatayoi,data/audio_specs/65547/iNat1135442_chunk_2.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882998_chunk_3.npy
Dendropsophus microcephalus,data/audio_specs/65373/XC882751_chunk_0.npy
Falco sparverius,data/audio_specs/amekes/XC362208_chunk_35.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC618023_chunk_21.npy
Procyon lotor,data/audio_specs/41663/iNat565772_chunk_7.npy
Falco sparverius,data/audio_specs/amekes/XC114061_chunk_0.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat761669_chunk_8.npy
Engystomops pustulosus,data/audio_specs/65448/iNat38915_chunk_3.npy
Falco sparverius,data/audio_specs/amekes/XC253951_chunk_3.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC582046_chunk_2.npy
Procyon lotor,data/audio_specs/41663/iNat348730_chunk_5.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat1226844_chunk_8.npy
Allobates femoralis,data/audio_specs/21211/XC882647_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882798_chunk_14.npy
Chloroceryle amazona,data/audio_specs/amakin1/iNat397661_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat630711_chunk_37.npy
Procyon lotor,data/audio_specs/41663/iNat44038_chunk_18.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC245452_chunk_9.npy
Procyon lotor,data/audio_specs/41663/iNat846728_chunk_10.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882995_chunk_5.npy
Smilisca phaeota,data/audio_specs/24272/XC882885_chunk_7.npy
Procyon lotor,data/audio_specs/41663/iNat926814_chunk_13.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat348132_chunk_7.npy
Falco sparverius,data/audio_specs/amekes/XC565193_chunk_10.npy
Falco sparverius,data/audio_specs/amekes/XC214256_chunk_6.npy
Engystomops pustulosus,data/audio_specs/65448/iNat53421_chunk_5.npy
Procyon lotor,data/audio_specs/41663/iNat181697_chunk_2.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1220655_chunk_2.npy
Scinax ruber,data/audio_specs/24322/XC882878_chunk_33.npy
Falco sparverius,data/audio_specs/amekes/XC449552_chunk_0.npy
Dendropsophus microcephalus,data/audio_specs/65373/XC882752_chunk_5.npy
Pristimantis achatinus,data/audio_specs/66531/iNat40682_chunk_2.npy
Rhinella horribilis,data/audio_specs/517119/iNat1110668_chunk_6.npy
Falco sparverius,data/audio_specs/amekes/XC213165_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat322031_chunk_27.npy
Dendropsophus bogerti,data/audio_specs/65336/iNat865751_chunk_13.npy
Procyon lotor,data/audio_specs/41663/iNat287461_chunk_23.npy
Pristimantis bogotensis,data/audio_specs/66578/iNat315496_chunk_3.npy
Engystomops pustulosus,data/audio_specs/65448/iNat304517_chunk_14.npy
Falco sparverius,data/audio_specs/amekes/XC772376_chunk_12.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC257913_chunk_2.npy
Elachistocleis panamensis,data/audio_specs/476538/iNat1109247_chunk_8.npy
Elachistocleis panamensis,data/audio_specs/476538/XC926710_chunk_1.npy
Engystomops pustulosus,data/audio_specs/65448/iNat50409_chunk_18.npy
Procyon lotor,data/audio_specs/41663/iNat722167_chunk_3.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat987253_chunk_2.npy
Trachycephalus typhonius,data/audio_specs/67252/XC882998_chunk_11.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat28425_chunk_3.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat1257590_chunk_6.npy
Falco sparverius,data/audio_specs/amekes/XC772375_chunk_4.npy
Falco sparverius,data/audio_specs/amekes/XC254588_chunk_1.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat1241231_chunk_5.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat859872_chunk_20.npy
Scinax ruber,data/audio_specs/24322/XC882880_chunk_5.npy
Chloroceryle amazona,data/audio_specs/amakin1/XC374595_chunk_3.npy
Engystomops pustulosus,data/audio_specs/65448/iNat76004_chunk_8.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat255294_chunk_5.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat157085_chunk_2.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat1273155_chunk_3.npy
Leptodactylus savagei,data/audio_specs/65962/iNat993397_chunk_3.npy
Leptodactylus insularum,data/audio_specs/126247/XC941297_chunk_1.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat327135_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC348428_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC375505_chunk_33.npy
Dendropsophus ebraccatus,data/audio_specs/65349/XC941283_chunk_1.npy
Dendropsophus microcephalus,data/audio_specs/65373/iNat583744_chunk_19.npy
Eleutherodactylus johnstonei,data/audio_specs/22333/iNat54095_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat135564_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat461258_chunk_3.npy
Boana boans,data/audio_specs/555086/iNat153413_chunk_5.npy
Boana boans,data/audio_specs/555086/XC919367_chunk_4.npy
Engystomops pustulosus,data/audio_specs/65448/iNat1200333_chunk_7.npy
Panthera onca,data/audio_specs/41970/XC564865_chunk_9.npy
Falco sparverius,data/audio_specs/amekes/XC375505_chunk_11.npy
Allobates femoralis,data/audio_specs/21211/iNat597267_chunk_17.npy
Falco sparverius,data/audio_specs/amekes/XC772375_chunk_16.npy
Dendropsophus bogerti,data/audio_specs/65336/iNat1122212_chunk_0.npy
Alouatta seniculus,data/audio_specs/566513/iNat72468_chunk_2.npy
Falco sparverius,data/audio_specs/amekes/XC593310_chunk_3.npy
Allobates femoralis,data/audio_specs/21211/XC920881_chunk_1.npy
Boana boans,data/audio_specs/555086/XC882693_chunk_10.npy
Procyon lotor,data/audio_specs/41663/XC144437_chunk_3.npy
Procyon lotor,data/audio_specs/41663/iNat89022_chunk_13.npy
Leptodactylus fragilis,data/audio_specs/22976/iNat132256_chunk_11.npy
Leptodactylus fuscus,data/audio_specs/22973/iNat326860_chunk_5.npy
Boana boans,data/audio_specs/555086/XC882687_chunk_0.npy
Andinobates opisthomelas,data/audio_specs/135045/iNat1208550_chunk_7.npy
Espadarana prosoblepon,data/audio_specs/134933/iNat859408_chunk_0.npy
Allobates femoralis,data/audio_specs/21211/XC925925_chunk_1.npy
Falco sparverius,data/audio_specs/amekes/XC565024_chunk_5.npy
Falco sparverius,data/audio_specs/amekes/XC48475_chunk_1.npy
Procyon lotor,data/audio_specs/41663/iNat736140_chunk_0.npy
Procyon lotor,data/audio_specs/41663/iNat841035_chunk_17.npy
Procyon lotor,data/audio_specs/41663/iNat214017_chunk_2.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882794_chunk_6.npy
Leptodactylus fuscus,data/audio_specs/22973/XC882795_chunk_8.npy
Puma concolor,data/audio_specs/42007/iNat1189983_chunk_1.npy
